region,regionID,FHG_10KBP,FHG_8KBP,FHG_6KBP,FHG_4KBP,FHG_3KBP,FHG_2KBP,FHG_1KBP,FHG_1500CE,FHG_1750CE,FHG_1850CE,EXAGR_10KBP,EXAGR_8KBP,EXAGR_6KBP,EXAGR_4KBP,EXAGR_3KBP,EXAG_2KBP,EXAG_1KBP,EXAG_1500CE,EXAG_1750CE,EXAG_1850CE,INAG_10KBP,INAG_8KBP,INAG_6KBP,INAG_4KBP,INAG_3KBP,INAG_2KBP,INAG_1KBP,INAG_1500CE,INAG_1750CE,INAG_1850CE,PAS_10KBP,PAS_8KBP,PAS_6KBP,PAS_4KBP,PAS_3KBP,PAS_2KBP,PAS_1KBP,PAS_1500CE,PAS_1750CE,PAS_1850CE
Turan Lowland,r102,2,2,2,1,2,1,2,1,1,1,0,0,1,1,2,1,2,2,2,2,0,0,1,2,2,2,2,2,3,3,0,0,1,2,3,3,3,3,3,3
Southeastern Central Asia,r103,1,2,2,1,1,1,1,1,1,1,0,0,0,1,2,2,2,2,1,1,0,0,0,1,2,1,2,2,2,2,0,0,0,2,3,3,3,3,3,3
Afghanistan,r104,3,3,2,1,1,1,0,0,0,0,0,1,2,2,2,2,2,2,2,2,0,0,0,1,1,2,2,2,2,2,0,0,2,3,3,3,3,3,3,3
Pakistan,r105,1,1,1,1,1,0,1,0,0,0,0,1,1,2,2,1,1,1,1,1,1,1,3,1,1,3,3,3,3,3,1,2,2,3,2,2,1,1,1,1
Himalayas,r106,1,1,1,1,2,2,2,2,2,1,0,0,1,1,1,2,2,2,2,2,0,0,0,1,1,2,2,2,2,2,0,0,1,2,2,3,2,2,2,3
Northern India,r107,3,3,2,2,2,2,1,0,0,0,0,1,2,2,2,1,1,1,1,1,0,0,1,1,2,3,3,3,3,3,0,1,1,3,3,3,1,1,1,1
Southwestern India,r108,3,3,3,2,2,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,2,3,3,3,3,0,0,1,2,3,3,2,2,2,2
Northwestern India,r109,3,2,1,1,1,2,2,1,1,1,0,1,2,2,2,2,2,1,1,1,0,0,1,1,2,2,2,2,2,2,0,1,2,3,3,3,3,2,2,2
Southern India,r110,3,3,3,2,2,2,1,2,1,1,0,0,0,2,2,2,1,2,1,1,0,0,0,2,2,2,3,3,3,3,0,0,0,2,3,2,2,3,2,2
Eastern India andBangladesh,r111,3,3,3,2,2,2,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,2,2,2,3,3,3,0,0,0,1,2,2,2,2,2,2
Northeastern India and Bhutan,r112,3,3,3,3,2,2,1,1,1,1,0,0,1,2,2,2,3,3,3,3,0,0,0,1,0,1,2,2,3,2,0,0,0,0,0,1,1,1,1,1
Sri Lanka,r113,2,2,2,3,3,3,3,3,2,2,0,0,0,0,2,2,3,3,3,3,0,0,0,0,1,2,2,2,2,2,0,0,0,0,1,2,2,2,2,2
Northwestern China,r114,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,2,2,2,1,1,0,0,0,1,1,1,1,1,2,2,0,0,0,2,2,2,3,3,3,3
Mongolia,r115,3,3,3,3,3,2,2,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,2,1,1,1,0,0,1,2,3,3,3,3,3,3
Northeastern China,r116,2,2,2,2,2,2,2,2,2,3,0,1,1,1,2,2,2,2,2,3,0,0,1,1,2,2,2,2,2,2,0,0,0,0,1,2,2,2,2,3
Korea,r117,3,3,3,3,3,1,1,1,1,1,0,1,1,1,3,2,3,3,3,3,0,0,0,0,1,2,3,3,3,3,0,0,0,0,0,1,2,2,3,3
Tibet,r118,2,2,2,2,1,1,1,0,0,0,0,0,1,2,1,2,2,2,2,2,0,0,0,1,1,2,2,1,0,0,0,0,1,2,2,2,3,3,3,3
North Central China,r119,3,2,2,1,1,1,0,1,1,1,1,1,2,3,2,2,0,1,1,1,0,0,2,2,3,3,3,3,3,3,0,0,0,2,2,3,3,2,2,2
Northern China,r120,2,3,2,1,1,1,0,0,0,0,0,1,2,2,2,1,0,0,0,0,0,0,2,2,3,3,3,3,3,3,0,1,2,2,2,2,1,0,0,0
South Central China,r121,3,2,2,2,2,1,1,1,1,1,2,2,1,3,3,3,3,3,3,3,1,0,0,1,2,3,2,3,3,3,0,0,0,0,2,2,1,1,1,1
Southeastern China and Taiwan,r122,3,3,3,3,2,2,1,0,0,0,0,0,1,2,3,3,3,3,3,3,0,0,0,0,1,2,2,3,3,3,0,0,0,0,1,1,0,1,1,1
Eastern China,r123,3,3,2,1,1,3,0,0,0,0,1,2,3,3,3,3,2,2,2,1,1,0,1,2,3,3,3,3,3,3,1,0,0,0,1,3,0,0,0,0
Japan,r124,3,3,1,3,3,3,3,3,3,3,0,0,0,1,1,2,3,3,3,3,0,0,0,0,1,2,3,3,3,3,0,0,0,0,0,1,3,3,3,3
Myanmar,r125,3,3,3,3,3,2,2,2,2,1,0,0,0,1,2,2,2,2,3,3,0,0,0,1,2,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0
Thailand,r126,3,3,3,3,3,2,2,2,2,1,0,0,0,2,2,3,3,3,3,3,0,0,0,0,1,2,3,3,3,3,0,0,0,0,0,0,0,0,0,0
Laos,r127,3,3,3,3,3,2,2,2,2,2,0,0,1,1,2,0,1,2,3,3,0,0,1,1,2,0,1,2,3,3,0,0,0,0,0,0,0,0,0,0
Vietnam and Cambodia,r128,1,1,1,2,1,1,2,2,1,1,0,0,0,1,2,2,2,3,3,3,0,0,0,0,0,2,2,3,3,3,0,0,0,0,0,0,0,0,0,0
Peninsular Malaysia,r129,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Sumatra,r130,3,3,3,2,2,1,1,0,0,0,0,0,1,2,2,3,3,2,1,1,0,0,0,1,1,2,3,3,3,3,0,0,1,1,1,2,3,3,3,3
Java and Timor,r131,3,3,3,2,2,2,1,1,1,0,0,1,1,1,1,3,2,1,1,1,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,3,3,3,3,3
Borneo,r132,3,3,3,3,2,2,1,1,1,1,0,0,1,1,2,3,2,2,2,2,0,0,0,0,1,2,2,2,3,3,0,0,1,1,2,3,2,2,3,3
Philippines,r133,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,1,2,3,3,0,0,0,0,0,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0
Indonesia,r134,3,3,3,2,2,2,1,1,0,0,0,0,1,1,2,3,2,1,1,1,0,0,0,0,0,2,3,3,3,3,0,0,0,0,0,2,3,3,3,3
Papua New Guinea,r135,3,3,3,3,3,3,3,3,3,3,0,1,1,2,2,2,3,3,3,3,0,1,1,1,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0
Western Australia,r136,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Northern Territory Australia,r137,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
South Australia,r138,3,3,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Queensland,r139,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
New South Wales,r140,3,3,3,3,3,3,3,3,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Victoria and Tasmania,r141,3,3,3,3,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3
Melanesia,r142,3,3,3,3,3,3,3,3,3,3,0,0,0,1,3,3,3,3,3,3,0,0,0,0,1,2,3,2,3,3,0,0,0,0,0,0,0,0,1,2
